Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
Achieved Merciless Gladiator title.,Merciless Gladiator,Title Reward: Merciless Gladiator,418,-1,-1,0,15452,0,0,2048,19,0,0,0
Achieved Vengeful Gladiator title.,Vengeful Gladiator,Title Reward: Vengeful Gladiator,419,-1,-1,0,15452,0,0,2048,20,0,0,0
Achieved Brutal Gladiator title.,Brutal Gladiator,Title Reward: Brutal Gladiator,420,-1,-1,0,15452,0,0,2048,21,0,0,0
Achieved Infernal Gladiator title.,Infernal Gladiator,Title Reward: Infernal Gladiator,15018,-1,-1,0,15452,0,0,1048576,13,136219,0,0
End a PvP season in the top 0.5% of the arena ladder (requires 50 games won in Season 1).,Gladiator: Season 1,Title Reward: Gladiator,15019,-1,-1,0,15452,0,0,1048576,14,136219,0,0
End a PvP season in the top 3% of the arena ladder (requires 50 games won in Season 1).,Duelist: Season 1,Title Reward: Duelist,15020,-1,-1,0,15452,0,0,1048576,15,136219,0,0
End a PvP season in the top 10% of the arena ladder (requires 50 games won in Season 1).,Rival: Season 1,Title Reward: Rival,15021,-1,-1,0,15452,0,0,1048576,16,136219,0,0
End a PvP season in the top 35% of the arena ladder (requires 50 games won in Season 1).,Challenger: Season 1,Title Reward: Challenger,15022,-1,-1,0,15452,0,0,1048576,17,136219,0,0
,[DNT] BCC Arena Tournament - Vanquisher Title,,15198,-1,-1,0,15452,0,0,2048,18,136243,0,0
End a PvP season in the top 0.5% of the arena ladder (requires 50 games won in Season 2).,Gladiator: Season 2,Title Reward: Gladiator,15199,-1,-1,0,15452,0,0,1048576,9,132249,0,0
End a PvP season in the top 0.5% of the arena ladder (requires 50 games won in Season 4).,Gladiator: Season 4,Title Reward: Gladiator,15200,-1,-1,0,15452,0,0,1048576,1,132249,0,0
End a PvP season in the top 3% of the arena ladder (requires 50 games won in Season 4).,Duelist: Season 4,Title Reward: Duelist,15201,-1,-1,0,15452,0,0,1048576,2,132249,0,0
End a PvP season in the top 10% of the arena ladder (requires 50 games won in Season 4).,Rival: Season 4,Title Reward: Rival,15202,-1,-1,0,15452,0,0,1048576,3,132249,0,0
End a PvP season in the top 35% of the arena ladder (requires 50 games won in Season 4).,Challenger: Season 4,Title Reward: Challenger,15203,-1,-1,0,15452,0,0,1048576,4,136219,0,0
End a PvP season in the top 0.5% of the arena ladder (requires 50 games won in Season 3).,Gladiator: Season 3,Title Reward: Gladiator,15204,-1,-1,0,15452,0,0,1048576,5,132249,0,0
End a PvP season in the top 3% of the arena ladder (requires 50 games won in Season 3).,Duelist: Season 3,Title Reward: Duelist,15205,-1,-1,0,15452,0,0,1048576,6,132249,0,0
End a PvP season in the top 10% of the arena ladder (requires 50 games won in Season 3).,Rival: Season 3,Title Reward: Rival,15206,-1,-1,0,15452,0,0,1048576,7,132249,0,0
End a PvP season in the top 35% of the arena ladder (requires 50 games won in Season 3).,Challenger: Season 3,Title Reward: Challenger,15207,-1,-1,0,15452,0,0,1048576,8,136219,0,0
End a PvP season in the top 3% of the arena ladder (requires 50 games won in Season 2).,Duelist: Season 2,Title Reward: Duelist,15208,-1,-1,0,15452,0,0,1048576,10,132249,0,0
End a PvP season in the top 10% of the arena ladder (requires 50 games won in Season 2).,Rival: Season 2,Title Reward: Rival,15209,-1,-1,0,15452,0,0,1048576,11,132249,0,0
End a PvP season in the top 35% of the arena ladder (requires 50 games won in Season 2).,Challenger: Season 2,Title Reward: Challenger,15210,-1,-1,0,15452,0,0,1048576,12,136219,0,0
